Type	Start	End	Strand	Name	Biotype	Description	LocusTag	seed_ortholog	Cog_category	Description_EGGNog	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene	1313814	1314260	-	yeaL	protein_coding	hypothetical membrane protein	SL1344_1216	220341.16502908	S	Protein of unknown function (DUF441)	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF441
gene	1314570	1315088	-	yeaK	protein_coding	conserved hypothetical protein	SL1344_1217	90371.CY43_06525	S	Aminoacyl-tRNA editing domain	GO:0002161,GO:0002196,GO:0003674,GO:0003824,GO:0006139,GO:0006399,GO:0006417,GO:0006450,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010608,GO:0010628,GO:0016070,GO:0016787,GO:0016788,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032268,GO:0032270,GO:0034248,GO:0034250,GO:0034641,GO:0034660,GO:0043170,GO:0044237,GO:0044238,GO:0045727,GO:0045903,GO:0046483,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0051171,GO:0051173,GO:0051246,GO:0051247,GO:0052689,GO:0060255,GO:0065007,GO:0065008,GO:0071704,GO:0080090,GO:0090304,GO:0106074,GO:0140098,GO:0140101,GO:1901360,GO:2000112	-	ko:K19055	-	-	-	-	ko00000,ko01000,ko03016	-	-	-	tRNA_edit
gene	1315138	1316631	-	yeaJ	protein_coding	conserved hypothetical membrane protein	SL1344_1218															
gene	1317272	1318558	-	yeaH	protein_coding	conserved hypothetical protein	SL1344_1219	90371.CY43_06535	S	Protein of unknown function (DUF444)	-	-	ko:K09786	-	-	-	-	ko00000	-	-	-	DUF444
gene	1318681	1320465	-	yeaG	protein_coding	conserved hypothetical protein	SL1344_1220	1197719.A464_1228	T	PrkA serine protein kinase C-terminal domain	GO:0003674,GO:0003824,GO:0004672,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006995,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009605,GO:0009987,GO:0009991,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0036211,GO:0042594,GO:0043170,GO:0043412,GO:0043562,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0050896,GO:0051716,GO:0071496,GO:0071704,GO:0140096,GO:1901564	-	ko:K07180	-	-	-	-	ko00000	-	-	-	AAA_PrkA,PrkA
gene	1321042	1321788	+	mipA	protein_coding	hypothetical outer membrane protein	SL1344_1221	220341.16502904	M	MltA-interacting protein MipA	GO:0000270,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009279,GO:0009987,GO:0016020,GO:0019867,GO:0030203,GO:0030312,GO:0030313,GO:0030674,GO:0031975,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044462,GO:0044464,GO:0060090,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:0071944,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576	-	ko:K07274	-	-	-	-	ko00000,ko02000	9.B.99.1	-	-	MipA
gene	1322078	1323274	+	-	protein_coding	hypothetical regulatory protein	SL1344_1222	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1323371	1324228	+	-	protein_coding	hypothetical oxidoreductase	SL1344_1223	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1324327	1325211	-	yeaD	protein_coding	conserved hypothetical protein	SL1344_1224	90371.CY43_06560	G	Aldose 1-epimerase	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716	5.1.3.15	ko:K01792	ko00010,ko01100,ko01110,ko01120,ko01130,map00010,map01100,map01110,map01120,map01130	-	R02739	RC00563	ko00000,ko00001,ko01000	-	-	-	Aldose_epim
gene	1325211	1325465	-	-	protein_coding	conserved hypothetical protein	SL1344_1224A	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1325546	1326541	-	gapA	protein_coding	glyceraldehyde 3-phosphate dehydrogenase A	SL1344_1225	220341.16502901	F	Glyceraldehyde 3-phosphate dehydrogenase, C-terminal domain	GO:0000166,GO:0003674,GO:0003824,GO:0004365,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016310,GO:0016491,GO:0016620,GO:0016903,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0036094,GO:0042866,GO:0043436,GO:0043891,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0048037,GO:0050662,GO:0051186,GO:0051188,GO:0051287,GO:0055086,GO:0055114,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:0097159,GO:1901135,GO:1901137,GO:1901265,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576	1.2.1.12	ko:K00134	ko00010,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04066,ko05010,map00010,map00710,map01100,map01110,map01120,map01130,map01200,map01230,map04066,map05010	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	ko00000,ko00001,ko00002,ko01000,ko04131,ko04147	-	-	iAPECO1_1312.APECO1_847,iPC815.YPO2157,iUTI89_1310.UTI89_C1975,ic_1306.c2184	Gp_dh_C,Gp_dh_N
gene	1326853	1327296	+	yeaA	protein_coding	conserved hypothetical protein	SL1344_1226															
gene	1327338	1327616	+	yeaC	protein_coding	conserved hypothetical protein	SL1344_1227	220341.16502899	S	Protein of unknown function (DUF1315)	-	-	ko:K09916	-	-	-	-	ko00000	-	-	-	DUF1315
gene	1327968	1328624	-	nam	protein_coding	pyrazinamidase/nicotinamidase	SL1344_1228															
gene	1328651	1329667	-	ansA	protein_coding	L-Asparaginase I	SL1344_1229	90371.CY43_06590	EJ	Asparaginase, N-terminal	GO:0003674,GO:0003824,GO:0004067,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006528,GO:0006530,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009066,GO:0009068,GO:0009987,GO:0016054,GO:0016787,GO:0016810,GO:0016811,GO:0019752,GO:0032787,GO:0033345,GO:0034641,GO:0042802,GO:0043436,GO:0043603,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046395,GO:0071704,GO:0072329,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	3.5.1.1	ko:K01424	ko00250,ko00460,ko01100,ko01110,map00250,map00460,map01100,map01110	-	R00485	RC00010,RC02798	ko00000,ko00001,ko01000	-	-	iECO103_1326.ECO103_1961,iSF_1195.SF1456,iS_1188.S1571,iYL1228.KPN_01203	Asparaginase
gene	1329763	1331619	-	sppA	protein_coding	protease IV	SL1344_1230	90371.CY43_06595	OU	Peptidase family S49	GO:0003674,GO:0003824,GO:0004175,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006465,GO:0006508,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009987,GO:0010467,GO:0016020,GO:0016021,GO:0016485,GO:0016787,GO:0019538,GO:0031224,GO:0031226,GO:0034641,GO:0043170,GO:0043603,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044425,GO:0044459,GO:0044464,GO:0051604,GO:0070011,GO:0071704,GO:0071944,GO:0140096,GO:1901564	-	ko:K04773	-	-	-	-	ko00000,ko01000,ko01002	-	-	-	Peptidase_S49
gene	1331793	1332344	+	ydjA	protein_coding	hypothetical nitroreductase	SL1344_1231	220341.16502895	C	Nitroreductase family	GO:0000166,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0010181,GO:0032553,GO:0036094,GO:0043167,GO:0043168,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050662,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	-	-	-	-	-	-	-	-	-	Nitroreductase
gene	1332462	1333505	+	selD	protein_coding	Selenide%2Cwater dikinase	SL1344_1232	90371.CY43_06605	F	Synthesizes selenophosphate from selenide and ATP	GO:0000287,GO:0001887,GO:0003674,GO:0003824,GO:0004756,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006520,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009069,GO:0009070,GO:0009451,GO:0009987,GO:0010467,GO:0016053,GO:0016070,GO:0016259,GO:0016260,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016781,GO:0019752,GO:0034470,GO:0034641,GO:0034660,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046872,GO:0070329,GO:0071704,GO:0090304,GO:1901360,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.9.3	ko:K01008	ko00450,ko01100,map00450,map01100	-	R03595	RC00002,RC02878	ko00000,ko00001,ko01000,ko03016	-	-	iPC815.YPO2164,iSFV_1184.SFV_1453,iSF_1195.SF1459,iSFxv_1172.SFxv_1645,iS_1188.S1574	AIRS,AIRS_C
gene	1333510	1335459	+	topB	protein_coding	DNA topoisomerase III	SL1344_1233	90371.CY43_06610	L	Releases the supercoiling and torsional tension of DNA, which is introduced during the DNA replication and transcription, by transiently cleaving and rejoining one strand of the DNA duplex. Introduces a single-strand break via transesterification at a target site in duplex DNA. The scissile phosphodiester is attacked by the catalytic tyrosine of the enzyme, resulting in the formation of a DNA-(5'-phosphotyrosyl)-enzyme intermediate and the expulsion of a 3'-OH DNA strand. The free DNA strand then undergoes passage around the unbroken strand, thus removing DNA supercoils. Finally, in the religation step, the DNA 3'-OH attacks the covalent intermediate to expel the active-site tyrosine and restore the DNA phosphodiester backbone	GO:0003674,GO:0003824,GO:0003916,GO:0003917,GO:0006139,GO:0006259,GO:0006265,GO:0006310,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007059,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016853,GO:0022402,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0051276,GO:0051304,GO:0071103,GO:0071704,GO:0071840,GO:0090304,GO:0140097,GO:1901360	5.99.1.2	ko:K03169	-	-	-	-	ko00000,ko01000,ko03032	-	-	-	Topoisom_bac,Toprim
gene	1335489	1336832	-	gdhA	protein_coding	NADP-specific glutamate dehydrogenase	SL1344_1234	90371.CY43_06615	E	Glu/Leu/Phe/Val dehydrogenase, dimerisation domain	GO:0003674,GO:0003824,GO:0004353,GO:0004354,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016638,GO:0016639,GO:0019752,GO:0042802,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.4.1.3,1.4.1.4	ko:K00261,ko:K00262	ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,map00220,map00250,map00471,map00910,map01100,map01200,map04217,map04964	M00740	R00243,R00248	RC00006,RC02799	ko00000,ko00001,ko00002,ko01000,ko04147	-	-	iECH74115_1262.ECH74115_2481,iECSP_1301.ECSP_2329,iECs_1301.ECs2467,iG2583_1286.G2583_2207,iPC815.YPO3971,iSDY_1059.SDY_1514,iYL1228.KPN_01210,iZ_1308.Z2793	ELFV_dehydrog,ELFV_dehydrog_N
gene	1337071	1337346	+	-	protein_coding	hypothetical exported protein	SL1344_1235	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1337306	1337722	-	-	protein_coding	hypothetical MutT-family protein	SL1344_1236	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1337795	1338601	-	xthA	protein_coding	exodeoxyribonuclease III	SL1344_1237	220341.16502889	L	Endonuclease/Exonuclease/phosphatase family	GO:0003674,GO:0003824,GO:0004518,GO:0004527,GO:0004529,GO:0004536,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008853,GO:0009987,GO:0016787,GO:0016788,GO:0016796,GO:0016895,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0140097,GO:1901360	3.1.11.2	ko:K01142	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	Exo_endo_phos
gene	1339047	1340273	+	argDa	protein_coding	Acetylornithine/succinyldiaminopimelate aminotransferase	SL1344_1238															
gene	1340264	1341298	+	astA	protein_coding	arginine N-succinyltransferase	SL1344_1239	90371.CY43_06640	E	Catalyzes the transfer of succinyl-CoA to arginine to produce N(2)-succinylarginine	-	2.3.1.109	ko:K00673	ko00330,ko01100,map00330,map01100	-	R00832	RC00004,RC00064	ko00000,ko00001,ko01000	-	-	iE2348C_1286.E2348C_1875	AstA
gene	1341295	1342773	+	astD	protein_coding	succinylglutamic semialdehyde dehydrogenase	SL1344_1240	90371.CY43_06645	C	Catalyzes the NAD-dependent reduction of succinylglutamate semialdehyde into succinylglutamate	GO:0003674,GO:0003824,GO:0004029,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016491,GO:0016620,GO:0016903,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0055114,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	1.2.1.71	ko:K06447	ko00330,ko01100,map00330,map01100	-	R05049	RC00080	ko00000,ko00001,ko01000	-	-	iECABU_c1320.ECABU_c20030,iEcHS_1320.EcHS_A1829,ic_1306.c2146	Aldedh
gene	1342770	1344113	+	astB	protein_coding	succinylarginine dihydrolase	SL1344_1241	90371.CY43_06650	E	Catalyzes the hydrolysis of N(2)-succinylarginine into N(2)-succinylornithine, ammonia and CO(2)	GO:0003674,GO:0003824,GO:0006082,GO:0006520,GO:0006525,GO:0006527,GO:0006807,GO:0008150,GO:0008152,GO:0009015,GO:0009056,GO:0009063,GO:0009064,GO:0009065,GO:0009987,GO:0016054,GO:0016787,GO:0016810,GO:0016813,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0046395,GO:0071704,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606	3.5.3.23	ko:K01484	ko00330,ko01100,map00330,map01100	-	R04189	RC00024	ko00000,ko00001,ko01000	-	-	iECH74115_1262.ECH74115_2463,iECSP_1301.ECSP_2313,iECs_1301.ECs2451,iG2583_1286.G2583_2191	AstB
gene	1345410	1345895	+	-	protein_coding	exported protein	SL1344_1243	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1345970	1346851	-	-	protein_coding	conserved hypothetical protein	SL1344_1244	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1346972	1347799	-	nadE	protein_coding	NH3-dependent NAD synthetase	SL1344_1245	90371.CY43_06670	F	Catalyzes the ATP-dependent amidation of deamido-NAD to form NAD. Uses ammonia as a nitrogen source	GO:0003674,GO:0003824,GO:0003952,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006520,GO:0006531,GO:0006725,GO:0006732,GO:0006733,GO:0006734,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008795,GO:0009058,GO:0009066,GO:0009108,GO:0009117,GO:0009165,GO:0009435,GO:0009987,GO:0016874,GO:0016879,GO:0016880,GO:0016884,GO:0018130,GO:0019355,GO:0019359,GO:0019362,GO:0019363,GO:0019365,GO:0019438,GO:0019637,GO:0019674,GO:0019752,GO:0033554,GO:0034355,GO:0034627,GO:0034628,GO:0034641,GO:0034654,GO:0043094,GO:0043173,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0055086,GO:0071704,GO:0072524,GO:0072525,GO:0090407,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605	6.3.1.5	ko:K01916	ko00760,ko01100,map00760,map01100	M00115	R00189	RC00100	ko00000,ko00001,ko00002,ko01000	-	-	iETEC_1333.ETEC_1772,iSFV_1184.SFV_1480,iSF_1195.SF1486,iSFxv_1172.SFxv_1676,iS_1188.S1603	NAD_synthase
gene	1348018	1348359	+	osmE	protein_coding	osmotically inducible lipoprotein E precursor	SL1344_1246	220341.16502880	M	SmpA / OmlA family	GO:0006950,GO:0006970,GO:0008150,GO:0009628,GO:0050896	-	ko:K04064	-	-	-	-	ko00000	-	-	-	SmpA_OmlA
gene	1348660	1348980	+	celA	protein_coding	PTS system%2C cellobiose-specific IIB component	SL1344_1247															
gene	1351797	1353152	+	celF	protein_coding	phospho-beta-glucosidase B	SL1344_1251															
gene	1353165	1353923	+	celG	protein_coding	conserved hypothetical protein	SL1344_1252															
gene	1353967	1356219	-	katE	protein_coding	catalase HPII	SL1344_1253	90371.CY43_06715	P	Serves to protect cells from the toxic effects of hydrogen peroxide	GO:0003674,GO:0003824,GO:0004096,GO:0004601,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006970,GO:0006972,GO:0006974,GO:0006979,GO:0008150,GO:0008152,GO:0009056,GO:0009628,GO:0009636,GO:0009987,GO:0016209,GO:0016491,GO:0016684,GO:0016999,GO:0017001,GO:0017144,GO:0020037,GO:0033554,GO:0042221,GO:0042737,GO:0042743,GO:0042744,GO:0042802,GO:0043167,GO:0043169,GO:0044237,GO:0044248,GO:0044424,GO:0044464,GO:0046872,GO:0046906,GO:0046914,GO:0048037,GO:0050896,GO:0051186,GO:0051187,GO:0051716,GO:0055114,GO:0070887,GO:0072593,GO:0097159,GO:0097237,GO:0098754,GO:0098869,GO:1901363,GO:1990748	1.11.1.6	ko:K03781	ko00380,ko00630,ko01110,ko01130,ko01200,ko04011,ko04016,ko04068,ko04146,ko04211,ko04212,ko04213,ko05014,map00380,map00630,map01110,map01130,map01200,map04011,map04016,map04068,map04146,map04211,map04212,map04213,map05014	M00532	R00009,R00602,R02670	RC00034,RC00767,RC02141,RC02755	ko00000,ko00001,ko00002,ko01000	-	-	iECO26_1355.ECO26_2506	Catalase,Catalase-rel,DJ-1_PfpI
gene	1356928	1358319	-	ydjN	protein_coding	hypothetical sodium:dicarboxylate symporter	SL1344_1255	90371.CY43_06725	U	Sodium:dicarboxylate symporter family	GO:0000099,GO:0000101,GO:0003333,GO:0003674,GO:0005215,GO:0005342,GO:0005575,GO:0005623,GO:0005886,GO:0006791,GO:0006810,GO:0006811,GO:0006820,GO:0006865,GO:0008150,GO:0008509,GO:0008514,GO:0015075,GO:0015171,GO:0015179,GO:0015184,GO:0015318,GO:0015711,GO:0015804,GO:0015807,GO:0015811,GO:0015849,GO:0016020,GO:0022857,GO:0034220,GO:0044464,GO:0046942,GO:0046943,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072337,GO:0072348,GO:0072349,GO:0098656,GO:1901682,GO:1902475,GO:1903825,GO:1905039	-	ko:K06956	-	-	-	-	ko00000	-	-	-	SDF
gene	1359193	1359861	-	yniC	protein_coding	hypothetical hydrolase	SL1344_1257	90371.CY43_06735	S	Haloacid dehalogenase-like hydrolase	GO:0000287,GO:0003674,GO:0003824,GO:0003850,GO:0004346,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0019203,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0050084,GO:0050286,GO:0050308,GO:0050309	3.1.3.23,5.4.2.6	ko:K01838,ko:K19270	ko00500,map00500	-	R02728,R11310	RC00408	ko00000,ko00001,ko01000	-	-	-	HAD_2
gene	1360010	1360546	+	yniB	protein_coding	hypothetical membrane protein	SL1344_1258	220341.16502867	S	YniB-like protein	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	YniB
gene	1360589	1361449	-	-	protein_coding	conserved hypothetical protein	SL1344_1259	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1361556	1361846	-	ydiZ	protein_coding	conserved hypothetical protein	SL1344_1260	90371.CY43_06750	S	Endoribonuclease GhoS	GO:0006950,GO:0006974,GO:0008150,GO:0009987,GO:0033554,GO:0050896,GO:0051716	-	-	-	-	-	-	-	-	-	-	GhoS
gene	1361943	1362875	-	pfkB	protein_coding	6-phosphofructokinase isozyme	SL1344_1261	90371.CY43_06755	H	Phosphomethylpyrimidine kinase	GO:0000287,GO:0003674,GO:0003824,GO:0003872,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0008443,GO:0009024,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019200,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0033554,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042802,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046835,GO:0046872,GO:0046939,GO:0050896,GO:0051186,GO:0051188,GO:0051716,GO:0055086,GO:0061615,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576	2.7.1.11	ko:K16370	ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00345	R00756,R03236,R03237,R03238,R03239,R04779	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	iAPECO1_1312.APECO1_793,iUTI89_1310.UTI89_C1916	PfkB
gene	1363164	1363922	+	ydiY	protein_coding	hypothetical outer membrane protein	SL1344_1262	90371.CY43_06760	M	Protein of unknown function, DUF481	-	-	ko:K07283	-	-	-	-	ko00000	-	-	-	DUF481
gene	1363971	1364930	-	-	protein_coding	hypothetical outer membrane protein	SL1344_1263	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1365073	1365387	+	-	protein_coding	hypothetical membrane protein	SL1344_1264	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
gene	1365483	1366238	+	-	protein_coding	Putative DNA/RNA non-specific endonuclease	SL1344_1265	90371.CY43_00065	K	Bacterial regulatory helix-turn-helix protein, lysR family	-	-	-	-	-	-	-	-	-	-	-	HTH_1,LysR_substrate
